taxonomy	T001	T002	T003	T004	T005	T007	T008	T009	T011	T012	T013	T014	T015	T016	T017	T018	T019	T020	T021	T022	T023	T024	T025	T026	T027	T028	T029	T032	T033	T034	T035	T036	T037	T038	T039	T040	T041	T042	T044	T045	T046	T047	T048	T049	T050	T051	T052	T053	T054	T055	T056	T057	T058	T059	T061	T062	T064	T065	T067	T068	T069	T070	T071	T072	T076	T077	T079	T083	T084	T085	T087	T088
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; Unclassified; g__Phialemoniopsis; s__Phialemoniopsis_pluriloculosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_humilis	156	9	15	515	44	6	146	39	641	415	159	464	152	418	112	378	356	49	945	192	302	14	244	483	353	49	371	548	167	126	666	312	817	391	29	264	577	206	343	152	8	85	260	102	36	442	1395	587	145	242	572	1184	262	1242	870	70	663	834	168	1242	476	34	697	65	248	125	703	35	143	134	304	1060
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Clonostachys; s__Clonostachys_compactiuscula	1	8	3	0	4	5	0	0	0	0	0	2	2	5	41	0	8	2	0	4	5	0	0	8	0	4	3	4	0	0	0	50	4	4	0	14	0	5	149	0	0	0	0	1	11	16	13	9	21	19	6	0	0	7	23	4	0	1	4	2	23	6	6	77	3	10	12	9	29	1	2	4
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Humicola; s__Humicola_olivacea	104	11	21	85	46	55	172	25	88	35	56	99	26	119	34	78	131	39	454	36	81	119	100	150	39	14	340	55	37	35	36	95	100	232	20	32	152	31	308	83	23	222	16	75	340	281	272	314	464	41	518	512	468	422	192	113	76	1156	334	474	155	47	503	78	78	15	232	7	103	66	30	38
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus_cervinus	46	30	16	53	33	39	11	11	26	42	44	32	23	22	0	95	101	42	141	6	8	78	40	38	97	53	17	42	27	13	103	54	310	70	41	21	48	10	125	80	28	36	6	12	2	68	43	39	81	133	71	28	11	3	32	18	4	39	1	41	31	14	5	28	25	50	97	78	60	17	8	47
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_ornatum	1	0	13	8	10	6	10	3	7	4	7	7	2	8	0	3	0	1	16	0	13	16	6	13	6	12	39	10	2	6	3	0	6	30	2	17	3	14	11	8	9	14	0	4	2	8	1	7	11	9	19	96	13	20	17	13	1	31	19	12	9	10	16	32	8	0	51	3	12	2	3	13
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Amanitaceae; g__Amanita; s__Amanita_vestita	7	0	0	0	50	0	33	1	0	0	0	0	0	0	13	0	0	0	0	0	54	0	0	0	0	0	25	0	0	4	206	0	0	0	0	34	1	0	26	0	11	0	0	2	8	0	0	0	0	0	0	0	0	0	12	0	0	0	0	9	0	0	22	72	9	0	31	13	0	45	0	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus_kanagawaensis	1	5	0	4	0	0	0	0	4	5	7	0	0	2	0	0	4	0	10	0	0	6	2	2	4	7	0	0	2	1	6	1	18	2	1	0	0	0	9	5	1	0	0	1	0	3	2	1	1	7	2	0	0	0	1	0	0	0	0	0	0	0	0	0	3	4	5	2	1	0	1	3
k__Fungi; p__Ascomycota; Unclassified; Unclassified; Unclassified; Unclassified; Unclassified	708	267	764	184	334	431	236	515	386	1358	559	307	1094	645	911	497	127	308	333	192	865	452	723	1489	2723	240	679	693	169	184	362	2210	680	1667	118	3027	2512	148	576	215	63	304	1106	795	328	294	231	464	372	556	91	304	388	650	371	543	409	372	446	495	578	438	904	367	651	511	768	661	2184	494	158	177
k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_zonata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	58	0	0	0	4	0
